french;german;assimil_lesson;category;regularity
apprendre;lernen;1;Verb;regular
comprendre;verstehen;1;Verb;irregular
connaître;kennen;1;Verb;irregular
être;sein;2;Verb;irregular
venir;kommen;2;Verb;regular
dormir;schlafen;3;Verb;irregular
travailler;arbeiten;3;Verb;regular
coûter;kosten;4;Verb;regular
appeler (s');heißen;5;Verb;regular
dire;sagen;5;Verb;regular
pouvoir (v.);können;5;Verb;irregular
tutoyer;duzen;5;Verb;regular
aller;gehen;6;Verb;irregular
aller (en avion);fliegen;6;Verb;irregular
aller (véhicule à roues);fahren;6;Verb;irregular
conduire;fahren;6;Verb;irregular
mettre à jour (données);updaten;6;Verb;regular
partir;fahren / losfahren / weggehen;6;Verb;irregular
rouler (conduire);fahren;6;Verb;irregular
voler;fliegen;6;Verb;irregular
voyager;reisen;8;Verb;regular
arriver;kommen;9;Verb;regular
avoir;haben;9;Verb;irregular
avoir sur soi;dabeihaben;9;Verb;irregular
faire;machen;9;Verb;regular
entrer;hereinkommen;10;Verb;irregular
habiter;wohnen;10;Verb;regular
prendre;nehmen;10;Verb;irregular
sortir;"hinaus/gehen ; aus/gehen";10;Verb;irregular
sortir;hinausgehen / ausgehen;10;Verb;irregular
commencer;anfangen;11;Verb;irregular
rester;bleiben;11;Verb;irregular
cuisiner;kochen;12;Verb;regular
goût (avoir le ~);schmecken;12;Verb;regular
goûter;probieren;12;Verb;regular
manger;essen;12;Verb;irregular
boire;trinken;13;Verb;regular
lever (se ~);aufstehen;13;Verb;irregular
oublier;vergessen;13;Verb;irregular
voir;sehen;13;Verb;irregular
apporter;bringen;15;Verb;irregular
juste (être ~);stimmen;15;Verb;regular
laisser;lassen;15;Verb;irregular
ranger;auf/räumen;15;Verb;irregular
trouver;finden;15;Verb;irregular
vacarme (faire du);poltern;15;Verb;regular
demander;fragen;16;Verb;regular
devoir;müssen;16;Verb;irregular
appeler (téléphoner);anrufen;17;Verb;irregular
entendre;hören;17;Verb;regular
être (numéro, adresse);lauten;17;Verb;regular
parler;sprechen / reden;17;Verb;irregular
téléphoner;anrufen;17;Verb;irregular
vouloir;mögen / wollen;17;Verb;irregular
donner;geben;18;Verb;irregular
droit (avoir le ~);dürfen;18;Verb;irregular
compter;zählen;19;Verb;regular
essayer;versuchen;19;Verb;regular
faire;tun;20;Verb;irregular
inviter;einladen;20;Verb;irregular
rencontrer;treffen;20;Verb;irregular
attendre;warten;22;Verb;regular
attendre qn;warten auf;22;Verb;regular
besoin (avoir ~ de);brauchen;22;Verb;regular
devoir;sollen;22;Verb;irregular
passer prendre;abholen;22;Verb;irregular
décharger;ausladen;23;Verb;irregular
écrit (être);stehen;23;Verb;irregular
fumer;rauchen;23;Verb;regular
lire;lesen;23;Verb;irregular
nager;schwimmen;23;Verb;irregular
porter;tragen;23;Verb;irregular
savoir (v.);"können ; wissen";23;Verb;irregular
devenir;werden;24;Verb;irregular
féliciter;gratulieren;24;Verb;regular
venir avec qqn;mitkommen;24;Verb;irregular
content (être ~);sich freuen;25;Verb;irregular
payer;zahlen;25;Verb;regular
réjouir (se ~);sich freuen;25;Verb;irregular
tenir;halten;25;Verb;irregular
aider;helfen;26;Verb;irregular
rater (vol, train, film…);verpassen;26;Verb;regular
penser à;denken an;27;Verb;irregular
savourer;genießen;27;Verb;irregular
chercher;suchen;29;Verb;regular
grossir;zunehmen;29;Verb;irregular
maigrir ; abnehmen ;29;Verb;irregular
marier (se);heiraten;29;Verb;regular
avoir l'air;aussehen;30;Verb;irregular
employer;benutzen;31;Verb;regular
regarder;schauen;31;Verb;regular
vouvoyer;siezen;31;Verb;regular
exagérer;übertreiben;32;Verb;regular
acheter;kaufen;33;Verb;regular
commencer;beginnen;33;Verb;irregular
dépêcher (se ~);sich beeilen;33;Verb;irregular
durer;dauern;33;Verb;regular
bronzer;braun werden;34;Verb;irregular
changer (travail, argent);wechseln;34;Verb;regular
gagner;gewinnen;34;Verb;irregular
réserver;"buchen ; reservieren";34;Verb;regular
amoureux (tomber ~ de);sich verlieben in;37;Verb;irregular
expliquer;erklären;37;Verb;regular
recevoir;"bekommen ; erhalten";37;Verb;irregular
discuter;streiten;38;Verb;irregular
penser;meinen;38;Verb;regular
plaire;"gefallen ; Spaß machen";38;Verb;irregular
proposer;"bieten ; vor/schlagen";39;Verb;irregular
revenir;"zurück/kommen ; wieder/kommen";39;Verb;irregular
passer (temps);vergehen;40;Verb;irregular
