verb;tense;person;conjugation
[sein];futur_1_indikativ;1;[werde sein]
[sein];futur_1_indikativ;2;[wirst sein]
[sein];futur_1_indikativ;3;[wird sein]
[sein];futur_1_indikativ;4;[werden sein]
[sein];futur_1_indikativ;5;[werdet sein]
[sein];futur_1_indikativ;6;[werden sein]
[sein];futur_1_konjunktiv_1;1;[werde sein]
[sein];futur_1_konjunktiv_1;2;[werdest sein]
[sein];futur_1_konjunktiv_1;3;[werde sein]
[sein];futur_1_konjunktiv_1;4;[werden sein]
[sein];futur_1_konjunktiv_1;5;[werdet sein]
[sein];futur_1_konjunktiv_1;6;[werden sein]
[sein];futur_1_konjunktiv_2;1;[würde sein]
[sein];futur_1_konjunktiv_2;2;[würdest sein]
[sein];futur_1_konjunktiv_2;3;[würde sein]
[sein];futur_1_konjunktiv_2;4;[würden sein]
[sein];futur_1_konjunktiv_2;5;[würdet sein]
[sein];futur_1_konjunktiv_2;6;[würden sein]
[sein];futur_2_indikativ;1;[werde gewesen sein]
[sein];futur_2_indikativ;2;[wirst gewesen sein]
[sein];futur_2_indikativ;3;[wird gewesen sein]
[sein];futur_2_indikativ;4;[werden gewesen sein]
[sein];futur_2_indikativ;5;[werdet gewesen sein]
[sein];futur_2_indikativ;6;[werden gewesen sein]
[sein];futur_2_konjunktiv_1;1;[werde gewesen sein]
[sein];futur_2_konjunktiv_1;2;[werdest gewesen sein]
[sein];futur_2_konjunktiv_1;3;[werde gewesen sein]
[sein];futur_2_konjunktiv_1;4;[werden gewesen sein]
[sein];futur_2_konjunktiv_1;5;[werdet gewesen sein]
[sein];futur_2_konjunktiv_1;6;[werden gewesen sein]
[sein];futur_2_konjunktiv_2;1;[würde gewesen sein]
[sein];futur_2_konjunktiv_2;2;[würdest gewesen sein]
[sein];futur_2_konjunktiv_2;3;[würde gewesen sein]
[sein];futur_2_konjunktiv_2;4;[würden gewesen sein]
[sein];futur_2_konjunktiv_2;5;[würdet gewesen sein]
[sein];futur_2_konjunktiv_2;6;[würden gewesen sein]
[sein];imperativ;2;[sei]
[sein];imperativ;5;[seid]
[sein];imperativ;6;[seien Sie]
[sein];perfekt_indikativ;1;[bin gewesen]
[sein];perfekt_indikativ;2;[bist gewesen]
[sein];perfekt_indikativ;3;[ist gewesen]
[sein];perfekt_indikativ;4;[sind gewesen]
[sein];perfekt_indikativ;5;[seid gewesen]
[sein];perfekt_indikativ;6;[sind gewesen]
[sein];perfekt_konjunktiv_1;1;[sei gewesen]
[sein];perfekt_konjunktiv_1;2;"[seist gewesen;seiest gewesen]"
[sein];perfekt_konjunktiv_1;3;[sei gewesen]
[sein];perfekt_konjunktiv_1;4;[seien gewesen]
[sein];perfekt_konjunktiv_1;5;[seiet gewesen]
[sein];perfekt_konjunktiv_1;6;[seien gewesen]
[sein];plusquamperfekt_indikativ;1;[war gewesen]
[sein];plusquamperfekt_indikativ;2;[warst gewesen]
[sein];plusquamperfekt_indikativ;3;[war gewesen]
[sein];plusquamperfekt_indikativ;4;[waren gewesen]
[sein];plusquamperfekt_indikativ;5;[wart gewesen]
[sein];plusquamperfekt_indikativ;6;[waren gewesen]
[sein];plusquamperfekt_konjunktiv_2;1;[wäre gewesen]
[sein];plusquamperfekt_konjunktiv_2;2;"[wärst gewesen;wärest gewesen]"
[sein];plusquamperfekt_konjunktiv_2;3;[wäre gewesen]
[sein];plusquamperfekt_konjunktiv_2;4;[wären gewesen]
[sein];plusquamperfekt_konjunktiv_2;5;"[wärt gewesen;wäret gewesen]"
[sein];plusquamperfekt_konjunktiv_2;6;[wären gewesen]
[sein];praesens_indikativ;1;[bin]
[sein];praesens_indikativ;2;[bist]
[sein];praesens_indikativ;3;[ist]
[sein];praesens_indikativ;4;[sind]
[sein];praesens_indikativ;5;[seid]
[sein];praesens_indikativ;6;[sind]
[sein];praesens_konjunktiv_1;1;[sei]
[sein];praesens_konjunktiv_1;2;"[seiest;seist]"
[sein];praesens_konjunktiv_1;3;[sei]
[sein];praesens_konjunktiv_1;4;[seien]
[sein];praesens_konjunktiv_1;5;[seiet]
[sein];praesens_konjunktiv_1;6;[seien]
[sein];praeteritum_indikativ;1;[war]
[sein];praeteritum_indikativ;2;[warst]
[sein];praeteritum_indikativ;3;[war]
[sein];praeteritum_indikativ;4;[waren]
[sein];praeteritum_indikativ;5;[wart]
[sein];praeteritum_indikativ;6;[waren]
[sein];praeteritum_konjunktiv_2;1;[wäre]
[sein];praeteritum_konjunktiv_2;2;"[wärest;wärst]"
[sein];praeteritum_konjunktiv_2;3;[wäre]
[sein];praeteritum_konjunktiv_2;4;[wären]
